arm,seed,delta_aff_plateau,delta_aff_per_contact,toward_other_camp,toward_mean,toward_own_pole,delta_k,swept_dial,level,affective,ideological,structural
exposure,0,0.00016113963876823734,3.6228251257500693e-9,-0.0006916553327282618,-0.0007312074978257194,0.0006263261872350022,0.0,affective,0.1,0.1,0.7,0.7
engagement,0,0.0002187637903094397,4.8782203213165286e-9,-0.000747201546138737,-0.0007078472007682904,0.0007506196005081581,0.0,affective,0.1,0.1,0.7,0.7
composition,0,-0.003056296530873165,-6.815244800698327e-8,-0.000747201546138737,-0.0007078472007682904,0.0007506196005081581,0.0,affective,0.1,0.1,0.7,0.7
exposure,1,0.00011801285218199231,2.6342154504908997e-9,-0.0005804338465203321,-0.0006135197108173137,0.0005452708520544509,0.0,affective,0.1,0.1,0.7,0.7
engagement,1,0.0003627452503934814,8.057603465058784e-9,-0.0009631738765534851,-0.001048046947867616,0.0009514021541453541,0.0,affective,0.1,0.1,0.7,0.7
composition,1,-0.0031244959108750747,-6.940393857871287e-8,-0.0009631738765534851,-0.001048046947867616,0.0009514021541453541,0.0,affective,0.1,0.1,0.7,0.7
exposure,2,0.0002753154076831632,6.255604455321697e-9,-0.0021197049795191455,-0.002097541492115768,0.0019845142218724104,0.0,affective,0.1,0.1,0.7,0.7
engagement,2,0.00021634658723451716,4.8884151034755446e-9,-0.0012494208165670252,-0.001175857521458436,0.0012410456845578437,0.0,affective,0.1,0.1,0.7,0.7
composition,2,-0.003261017464873728,-7.341327025830095e-8,-0.0015635780440169797,-0.0014908741411236506,0.0015288609781562404,0.0,affective,0.1,0.1,0.7,0.7
exposure,3,0.00019496319016276686,4.495139494668608e-9,-0.0012269442190881567,-0.0012733697878333713,0.0011061022233717832,0.0,affective,0.1,0.1,0.7,0.7
engagement,3,0.00018882736100617192,4.28685436356184e-9,-0.0001680733447775324,-0.00015700139859277547,0.00014624204128071755,0.0,affective,0.1,0.1,0.7,0.7
composition,3,-0.00332667275111434,-7.568360257341235e-8,-0.0007688464571444613,-0.0007624549912664605,0.0007214320207579571,0.0,affective,0.1,0.1,0.7,0.7
exposure,4,0.00016711756692017188,3.664778555737196e-9,-0.001083891354078513,-0.0011793414653615123,0.0009832179366669339,0.0,affective,0.1,0.1,0.7,0.7
engagement,4,0.00025683533139908565,5.530119316131293e-9,-0.0005712407139649234,-0.0006061315577777157,0.0005347658784116069,0.0,affective,0.1,0.1,0.7,0.7
composition,4,-0.003262445318419571,-7.024622264753722e-8,-0.0005712407139649234,-0.0006061315577777157,0.0005347658784116069,0.0,affective,0.1,0.1,0.7,0.7
exposure,0,0.0015249508430401626,3.401933795208501e-8,-0.0014813356893265484,-0.0014660211442118275,0.0013919302840014595,0.0,affective,0.5,0.5,0.7,0.7
engagement,0,0.00144977647200073,3.2086768740471637e-8,-0.0009999213666280647,-0.0009103810137768937,0.0009916819829655483,0.0,affective,0.5,0.5,0.7,0.7
composition,0,-0.008334584589275607,-1.8472859145519763e-7,-0.0011235146417686625,-0.001108920631272018,0.0010598088849157364,0.0,affective,0.5,0.5,0.7,0.7
exposure,1,0.001229035710504145,2.7444859776341943e-8,-0.0021192479868138644,-0.0022227871513064135,0.0019186265429145008,0.0,affective,0.5,0.5,0.7,0.7
engagement,1,0.0016330097318336678,3.53710304070713e-8,-0.0012729663823295217,-0.001233848982640022,0.001176726044040613,0.0,affective,0.5,0.5,0.7,0.7
composition,1,-0.009183715488896738,-1.9806576851848808e-7,-0.0012479424527555866,-0.0012255290698726562,0.0011574000779122104,0.0,affective,0.5,0.5,0.7,0.7
exposure,2,0.0017501516624609526,3.9376148276845515e-8,-0.0019307511456267143,-0.0018885642690746945,0.001883888699254977,0.0,affective,0.5,0.5,0.7,0.7
engagement,2,0.0017967487814013472,3.989494818485572e-8,-0.0015911390205446043,-0.001568383777418904,0.001525765650606894,0.0,affective,0.5,0.5,0.7,0.7
composition,2,-0.008778167306199736,-1.9557888969542445e-7,-0.001207587166432508,-0.0011920438117228758,0.0011511473696792169,0.0,affective,0.5,0.5,0.7,0.7
exposure,3,0.0015653564976195744,3.570123837110739e-8,-0.0008436581304692857,-0.0008981130095324047,0.0007332160464808505,0.0,affective,0.5,0.5,0.7,0.7
engagement,3,0.002005508275134127,4.538170427077586e-8,-0.0009524476052437231,-0.0010148937693857476,0.0008164063755629882,0.0,affective,0.5,0.5,0.7,0.7
composition,3,-0.008760263585487094,-1.9902000557709735e-7,-0.0003819946452998254,-0.00043027330326167847,0.0002876396264253939,0.0,affective,0.5,0.5,0.7,0.7
exposure,4,0.0011331287663650658,2.487331561956857e-8,-0.0012972678301635967,-0.001349624113586773,0.0011864489957634484,0.0,affective,0.5,0.5,0.7,0.7
engagement,4,0.0015061281310380092,3.2363404766814414e-8,-0.0015684306511205667,-0.0015936166503892645,0.0014722787914185176,0.0,affective,0.5,0.5,0.7,0.7
composition,4,-0.009291080444877253,-1.9882049271098957e-7,-0.0014922416847704058,-0.0015180515114778712,0.0013628033854781283,0.0,affective,0.5,0.5,0.7,0.7
exposure,0,0.0059987456096468605,1.178211417222544e-7,-0.008746212306718387,-0.008598130572669942,0.008253078688196348,0.0,affective,0.9,0.9,0.7,0.7
engagement,0,0.007378802825354747,1.4854755753336312e-7,-0.0007881160079536188,-0.0007241927825942726,0.000656120847782056,0.0,affective,0.9,0.9,0.7,0.7
composition,0,-0.008301990501831558,-1.6639589725676062e-7,-0.000699579403285383,-0.0006066270040502517,0.0006656788936285976,0.0,affective,0.9,0.9,0.7,0.7
exposure,1,0.006836601151122945,1.3136699494875188e-7,-0.005676568756017478,-0.005483157742168992,0.005387198605171874,0.0,affective,0.9,0.9,0.7,0.7
engagement,1,0.008284510142016366,1.6224096003008766e-7,-0.00043126113252773407,-0.0003707423862630531,0.0003950224118341866,0.0,affective,0.9,0.9,0.7,0.7
composition,1,-0.00927158961652097,-1.8090200609773218e-7,0.0007069213330124398,0.000809239507360858,-0.0006591169920080429,0.0,affective,0.9,0.9,0.7,0.7
exposure,2,0.004872234948941401,9.550218454517907e-8,-0.007914347622537603,-0.00788726382687635,0.007629836039294839,0.0,affective,0.9,0.9,0.7,0.7
engagement,2,0.007027000138738693,1.4080471564017738e-7,-0.0016283316840241258,-0.001559072207077114,0.0015963964303701283,0.0,affective,0.9,0.9,0.7,0.7
composition,2,-0.010170186551746507,-2.037215366320762e-7,-0.0011930959949095557,-0.0011644286096240755,0.001224842194069018,0.0,affective,0.9,0.9,0.7,0.7
exposure,3,0.005806552225481543,1.1262393516848426e-7,-0.008315221136818395,-0.008171459859678064,0.007906253997834838,0.0,affective,0.9,0.9,0.7,0.7
engagement,3,0.0063532972960160805,1.2681991528466935e-7,-0.001107094648121587,-0.0009704840995449215,0.0010556112787393768,0.0,affective,0.9,0.9,0.7,0.7
composition,3,-0.009544585054873878,-1.9005924161918553e-7,-0.0014761246634628078,-0.0013949720132446983,0.001335113717360191,0.0,affective,0.9,0.9,0.7,0.7
exposure,4,0.005341996390284542,9.928438602889215e-8,-0.008190392659621168,-0.008036386344891528,0.0076994650506300895,0.0,affective,0.9,0.9,0.7,0.7
engagement,4,0.0064259366269880935,1.219852049619973e-7,-0.0009425695003053326,-0.0009318219278269049,0.0009033279589109565,0.0,affective,0.9,0.9,0.7,0.7
composition,4,-0.011047203921486393,-2.0864645629566155e-7,-0.000801375812921723,-0.0008549336436487996,0.0007610732916798375,0.0,affective,0.9,0.9,0.7,0.7
exposure,0,0.0,0.0,NaN,NaN,NaN,0.0,ideological,0.1,0.7,0.1,0.7
engagement,0,0.0,0.0,NaN,NaN,NaN,0.0,ideological,0.1,0.7,0.1,0.7
composition,0,0.0,0.0,NaN,NaN,NaN,0.0,ideological,0.1,0.7,0.1,0.7
exposure,1,0.0,0.0,NaN,NaN,NaN,0.0,ideological,0.1,0.7,0.1,0.7
engagement,1,0.0,0.0,NaN,NaN,NaN,0.0,ideological,0.1,0.7,0.1,0.7
composition,1,0.0,0.0,NaN,NaN,NaN,0.0,ideological,0.1,0.7,0.1,0.7
exposure,2,0.0,0.0,NaN,NaN,NaN,0.0,ideological,0.1,0.7,0.1,0.7
engagement,2,0.0,0.0,NaN,NaN,NaN,0.0,ideological,0.1,0.7,0.1,0.7
composition,2,0.0,0.0,NaN,NaN,NaN,0.0,ideological,0.1,0.7,0.1,0.7
exposure,3,0.0,0.0,NaN,NaN,NaN,0.0,ideological,0.1,0.7,0.1,0.7
engagement,3,0.0,0.0,NaN,NaN,NaN,0.0,ideological,0.1,0.7,0.1,0.7
composition,3,0.0,0.0,NaN,NaN,NaN,0.0,ideological,0.1,0.7,0.1,0.7
exposure,4,0.0,0.0,NaN,NaN,NaN,0.0,ideological,0.1,0.7,0.1,0.7
engagement,4,0.0,0.0,NaN,NaN,NaN,0.0,ideological,0.1,0.7,0.1,0.7
composition,4,0.0,0.0,NaN,NaN,NaN,0.0,ideological,0.1,0.7,0.1,0.7
exposure,0,0.003544785564465469,8.022599444303427e-8,-0.00198267338403424,-0.001955719371872114,0.0017362894712895389,0.0,ideological,0.5,0.7,0.5,0.7
engagement,0,0.0038112105284699993,8.544548759012643e-8,-0.00025602903385306495,-0.00019796980550243351,0.00022034758660427044,0.0,ideological,0.5,0.7,0.5,0.7
composition,0,-0.00941994796562029,-2.1051574330391513e-7,-0.0005490613205984748,-0.0005235668445691824,0.0005302650921019964,0.0,ideological,0.5,0.7,0.5,0.7
exposure,1,0.0022530679460313063,5.062163984073214e-8,-0.0011619978056722005,-0.0011711196439198376,0.0009411464759893681,0.0,ideological,0.5,0.7,0.5,0.7
engagement,1,0.00320298962496679,7.100083403455378e-8,0.000016754510522806222,-0.00003460488241004058,-0.00002171347964518948,0.0,ideological,0.5,0.7,0.5,0.7
composition,1,-0.01028362079402445,-2.2787672385269568e-7,-0.0004389312788174232,-0.00045000574259597675,0.0003970853003096835,0.0,ideological,0.5,0.7,0.5,0.7
exposure,2,0.002983003629844161,6.759429040457186e-8,-0.0018674141288316237,-0.0019416573081774491,0.0016825647651622705,0.0,ideological,0.5,0.7,0.5,0.7
engagement,2,0.0032291584704429166,7.2687866526571e-8,-0.0009729264527722908,-0.0009352509834650649,0.0009417744603019253,0.0,ideological,0.5,0.7,0.5,0.7
composition,2,-0.009274721316608892,-2.0732120253507e-7,-0.0011228846874743867,-0.0011295627252236214,0.0010650851930524901,0.0,ideological,0.5,0.7,0.5,0.7
exposure,3,0.003037000269960455,6.911541089097778e-8,-0.001874171647015443,-0.0018765956596509441,0.0017935864314009668,0.0,ideological,0.5,0.7,0.5,0.7
