arm,seed,delta_aff_plateau,delta_aff_per_contact,delta_aff_per_cross_contact,toward_other_camp,toward_mean,toward_own_pole,delta_k,delta_bic_margin,ideo_level_toward_other_camp,ideo_level_toward_mean,ideo_level_toward_own_pole,swept_dial,level,affective,ideological,structural
exposure,0,0.00007954098808421461,1.7678918048589664e-9,2.111576842608368e-9,-0.00015121658112686692,-0.000172674837915122,0.00014784668115686928,0.0,0.00012374951397855355,-0.0011184619094500574,-0.0006637734199782024,0.0014000461005115664,affective,0.1,0.1,0.5,0.5
engagement,0,0.0002059331837326872,4.225744028331668e-9,5.007372069559092e-9,-0.0006792975035528274,-0.0006517888194791387,0.0006675635574146426,0.0,0.0000612219554560478,-0.0011184619094500574,-0.0006637734199782024,0.0014000461005115664,affective,0.1,0.1,0.5,0.5
composition,0,-0.003986823407732515,-8.180952142762634e-8,-9.694167698615267e-8,-0.0006741470198084233,-0.0006465741481808937,0.0006630054011606207,0.0,0.0000612738510289007,-0.0011184619094500574,-0.0006637734199782024,0.0014000461005115664,affective,0.1,0.1,0.5,0.5
exposure,1,-0.00003880119514193536,-8.616169285176507e-10,-1.0363013498727462e-9,-0.00030428197580040207,-0.00032207751875884907,0.0002585639717880969,0.0,0.0006430447697559696,-0.0012732370687888422,-0.0007336415931624043,0.0016091655782865212,affective,0.1,0.1,0.5,0.5
engagement,1,0.00024244571982812158,4.869170144362982e-9,5.792238331178096e-9,-0.0005049148701994279,-0.00043503313648158236,0.0005754061564260267,0.0,0.00028227767921537583,-0.0012732370687888422,-0.0007336415931624043,0.0016091655782865212,affective,0.1,0.1,0.5,0.5
composition,1,-0.004085238123005458,-8.204607412848366e-8,-9.759987870620106e-8,-0.0005049148701994279,-0.00043503313648158236,0.0005754061564260267,0.0,0.00028227767921537583,-0.0012732370687888422,-0.0007336415931624043,0.0016091655782865212,affective,0.1,0.1,0.5,0.5
exposure,2,0.000019191913602112365,4.273702006839104e-10,5.109804201952226e-10,-0.00039192833256974794,-0.00036751714476950924,0.0003656361260841912,0.0,-0.0005022341813542483,-0.0022574904827027263,-0.001983636273264952,0.0023201482804155234,affective,0.1,0.1,0.5,0.5
engagement,2,0.00026774589145606154,5.448079997071147e-9,6.477932145941681e-9,-0.0007102688877060979,-0.0007193923107576537,0.000598955633603866,0.0,-0.0014562791001536263,-0.0022574904827027263,-0.001983636273264952,0.0023201482804155234,affective,0.1,0.1,0.5,0.5
composition,2,-0.004040839819255626,-8.254192256675776e-8,-9.806911511638739e-8,-0.0006951532721630994,-0.000651829350762479,0.0006323177865792005,0.0,-0.001426020973272435,-0.0022574904827027263,-0.001983636273264952,0.0023201482804155234,affective,0.1,0.1,0.5,0.5
exposure,3,0.00006532964774763617,1.4781466558281368e-9,1.7870626076438485e-9,-0.0003797526172367369,-0.00037579118643803525,0.00030686010096078807,0.0,-0.000011318288432482504,-0.0013969813402993263,-0.0011461427200035153,0.0016185474097631452,affective,0.1,0.1,0.5,0.5
engagement,3,0.00021930000373981962,4.5368034204935996e-9,5.4102729496180885e-9,-0.0004137306118098909,-0.0004066902581818831,0.00030207388714946146,0.0,-0.00003258260947860275,-0.0013969813402993263,-0.0011461427200035153,0.0016185474097631452,affective,0.1,0.1,0.5,0.5
composition,3,-0.004060765172230002,-8.402858031349588e-8,-1.0018417517158863e-7,-0.0005180970435600526,-0.0005419915527564538,0.0003863154428034468,0.0,-0.00003788725398225917,-0.0013969813402993263,-0.0011461427200035153,0.0016185474097631452,affective,0.1,0.1,0.5,0.5
exposure,4,0.00006462903896220507,1.4016273902018015e-9,1.6751085729667998e-9,-0.00026190749256686753,-0.00021792249978867513,0.0003137713358823508,0.0,0.0002565360882848533,-0.0010193929443956344,-0.0009159614416735807,0.001023679473866249,affective,0.1,0.1,0.5,0.5
engagement,4,0.00032358056355902276,6.400311797753481e-9,7.556585870461287e-9,-0.000599320905725353,-0.0004701347892240095,0.0006082480198973889,0.0,-0.00018864244530721053,-0.0010193929443956344,-0.0009159614416735807,0.001023679473866249,affective,0.1,0.1,0.5,0.5
composition,4,-0.0040903458586036,-8.08224991326365e-8,-9.54550852629717e-8,-0.000587993225582362,-0.0005412973052529479,0.0005510975288796421,0.0,-0.00020237415391161084,-0.0010193929443956344,-0.0009159614416735807,0.001023679473866249,affective,0.1,0.1,0.5,0.5
exposure,0,0.0004846678662224768,1.071728691644687e-8,1.2768866512697969e-8,-0.0007101236725665667,-0.0006950245677305518,0.0005970340857186169,0.0,6.3390905283775e-6,-0.0024038779815703537,-0.0018899123575542682,0.0026181206025000063,affective,0.5,0.5,0.5,0.5
engagement,0,0.0015489887890610676,3.147903324854325e-8,3.724605148266489e-8,-0.0007434862718402545,-0.0007343596868933575,0.0006463335217912623,0.0,0.00002507226811308133,-0.0024038779815703537,-0.0018899123575542682,0.0026181206025000063,affective,0.5,0.5,0.5,0.5
composition,0,-0.011263498580655229,-2.2832958809355825e-7,-2.710047298170259e-7,-0.0009618888463694647,-0.0009359356339177971,0.0008567263011215538,0.0,0.00013447364844023507,-0.0024038779815703537,-0.0018899123575542682,0.0026181206025000063,affective,0.5,0.5,0.5,0.5
exposure,1,-0.00038819322185335015,-8.56560507178619e-9,-1.0233924439875307e-8,-0.0008801830900045048,-0.0008983459315091667,0.0007171722913116361,0.0,-0.0012656744695719868,-0.002825639481451539,-0.002118968528436027,0.003153314289598864,affective,0.5,0.5,0.5,0.5
engagement,1,0.0014575849031155386,2.9551230701393614e-8,3.506001113954728e-8,-0.001193239717561639,-0.0012317310301750047,0.0009583611609656831,0.0,0.0000533446181143829,-0.002825639481451539,-0.002118968528436027,0.003153314289598864,affective,0.5,0.5,0.5,0.5
composition,1,-0.01210446246329433,-2.4209893322321555e-7,-2.8652327944170644e-7,-0.0008913960182698557,-0.0008739518466944558,0.0007166679546417427,0.0,0.00013353635802473146,-0.002825639481451539,-0.002118968528436027,0.003153314289598864,affective,0.5,0.5,0.5,0.5
exposure,2,0.00032551425729254735,7.200368458957427e-9,8.604659193564562e-9,-0.0010747238747279963,-0.001096716948016949,0.0009180791929033782,0.0,0.00020013254403043051,-0.003800007062535863,-0.003430356753022025,0.0038077970744567866,affective,0.5,0.5,0.5,0.5
engagement,2,0.001452241678513766,2.943872369329156e-8,3.483847135693333e-8,-0.0009481774356724908,-0.0009300358564815377,0.0008708598122068325,0.0,0.00008197200964176615,-0.003800007062535863,-0.003430356753022025,0.0038077970744567866,affective,0.5,0.5,0.5,0.5
composition,2,-0.01167580252300604,-2.38135886661351e-7,-2.833176220670704e-7,-0.0005208587923179282,-0.000511544019648009,0.0005061083747051284,0.0,-4.814280789987302e-6,-0.003800007062535863,-0.003430356753022025,0.0038077970744567866,affective,0.5,0.5,0.5,0.5
