arm,seed,targeting_mode,delta_aff_plateau,delta_aff_per_contact,delta_aff_per_cross_contact,delta_aff_level_none,toward_other_camp,toward_mean,toward_own_pole,delta_k,delta_bic_margin,ideo_level_toward_other_camp,ideo_level_toward_mean,ideo_level_toward_own_pole,diversity_ratio_arm,diversity_ratio_none,diversity_floor_break_even,swept_dial,level,affective,ideological,structural
exposure,0,camp_pair,0.00006061026365869471,1.3471342385022827e-9,3.1349055373277495e-9,0.0005211916992848287,-0.00015121658112686692,-0.000172674837915122,0.00014784668115686928,0.0,0.00012374951397855355,-0.0011184619094500574,-0.0006637734199782024,0.0014000461005115664,1.0009539196046022,1.0008535007165358,NaN,affective,0.1,0.1,0.5,0.5
engagement,0,camp_pair,0.00015625517586101423,3.2063524892991244e-9,7.20468350521091e-9,0.0005211916992848287,-0.000677406085843605,-0.0006498880172307984,0.0006656932937033986,0.0,0.00006124381518773925,-0.0011184619094500574,-0.0006637734199782024,0.0014000461005115664,1.0013398159868963,1.0008535007165358,NaN,affective,0.1,0.1,0.5,0.5
composition,0,camp_pair,-0.003093560386730726,-6.347978549916332e-8,-1.4263926534169705e-7,0.0005211916992848287,-0.0006741470198084233,-0.0006465741481808937,0.0006630054011606207,0.0,0.0000612738510289007,-0.0011184619094500574,-0.0006637734199782024,0.0014000461005115664,1.001337317400756,1.0008535007165358,1.001337317400756,affective,0.1,0.1,0.5,0.5
exposure,1,camp_pair,-0.000017061867816414722,-3.788916039265111e-10,-8.565194686955182e-10,0.0005093399980912738,-0.00030177681171020135,-0.0003205799975088508,0.0002559737712421542,0.0,0.0006428844935591205,-0.0012753893688100188,-0.0007344258085257389,0.0016119864676553092,1.0011107778795032,1.0008113112798505,1.0011107778795032,affective,0.1,0.1,0.5,0.5
engagement,1,camp_pair,0.00011500833899857899,2.3234946664224614e-9,5.125377200346673e-9,0.0005093399980912738,-0.0004706627246083303,-0.0004159983790649731,0.0005063775753049115,0.0,0.0005712215100482781,-0.0012753893688100188,-0.0007344258085257389,0.0016119864676553092,1.0012729838641483,1.0008113112798505,NaN,affective,0.1,0.1,0.5,0.5
composition,1,camp_pair,-0.0030914085250497714,-6.236827980409892e-8,-1.3789234689548023e-7,0.0005093399980912738,-0.00011640717961581681,-0.0001336702496645797,0.0001400012568798601,0.0,0.00030496920140920397,-0.0012753893688100188,-0.0007344258085257389,0.0016119864676553092,1.0009378791299894,1.0008113112798505,1.0009378791299894,affective,0.1,0.1,0.5,0.5
exposure,2,camp_pair,0.00003687791767764681,8.222134504068227e-10,1.8363667800839961e-9,0.0007731766189043587,-0.000297640869258947,-0.0002780435998751482,0.00028935483118212695,0.0,0.001448985249514513,-0.0023554840577128893,-0.0020603957248785678,0.0024166378828562305,1.0018165952186302,1.0017485710593057,NaN,affective,0.1,0.1,0.5,0.5
engagement,2,camp_pair,0.00020653177799767608,4.218808660967747e-9,9.224286645720235e-9,0.0007731766189043587,-0.0005976136940831996,-0.0005754863188969792,0.0005362241328827145,0.0,0.00001539094400897223,-0.0023554840577128893,-0.0020603957248785678,0.0024166378828562305,1.0022252409532837,1.0017485710593057,NaN,affective,0.1,0.1,0.5,0.5
composition,2,camp_pair,-0.0031271356311152188,-6.387775775947746e-8,-1.396666204160437e-7,0.0007731766189043587,-0.0005971596971529364,-0.0005750698991488631,0.0005358281841384934,0.0,0.00001542520234464051,-0.0023554840577128893,-0.0020603957248785678,0.0024166378828562305,1.0022252003236463,1.0017485710593057,1.0022252003236463,affective,0.1,0.1,0.5,0.5
exposure,3,camp_pair,2.468081022888313e-7,5.592497559340871e-12,1.356610247286491e-11,0.0005992977881475459,0.000017142766561958596,-0.00003977318908570727,-0.00008465182824408534,0.0,-0.000015663839853546913,-0.0013969813402993263,-0.0011461427200035153,0.0016185474097631452,1.0015136539957392,1.001582594284066,NaN,affective,0.1,0.1,0.5,0.5
engagement,3,camp_pair,0.00017125247855886983,3.5428126641331837e-9,8.271068754352563e-9,0.0005992977881475459,-0.0004137306118098909,-0.0004066902581818831,0.00030207388714946146,0.0,-0.00003258260947860275,-0.0013969813402993263,-0.0011461427200035153,0.0016185474097631452,1.0018409822239973,1.001582594284066,NaN,affective,0.1,0.1,0.5,0.5
composition,3,camp_pair,-0.003135091423401931,-6.487380340607398e-8,-1.515049255014706e-7,0.0005992977881475459,-0.0005180970435600526,-0.0005419915527564538,0.0003863154428034468,0.0,-0.00003788725398225917,-0.0013969813402993263,-0.0011461427200035153,0.0016185474097631452,1.0019862872823937,1.001582594284066,1.0019862872823937,affective,0.1,0.1,0.5,0.5
exposure,4,camp_pair,0.00005254752303662791,1.139612297476207e-9,2.686204019866471e-9,0.0006456646094197271,-0.00026190749256686753,-0.00021792249978867513,0.0003137713358823508,0.0,0.0002565360882848533,-0.0010193929443956344,-0.0009159614416735807,0.001023679473866249,1.0009580087155832,1.000922018728799,NaN,affective,0.1,0.1,0.5,0.5
engagement,4,camp_pair,0.0002518595994052686,4.9816958958258715e-9,1.1267877568238573e-8,0.0006456646094197271,-0.000599320905725353,-0.0004701347892240095,0.0006082480198973889,0.0,-0.00018864244530721053,-0.0010193929443956344,-0.0009159614416735807,0.001023679473866249,1.00124382248346,1.000922018728799,NaN,affective,0.1,0.1,0.5,0.5
composition,4,camp_pair,-0.0031672762989955194,-6.258573515512714e-8,-1.4147205194727174e-7,0.0006456646094197271,-0.0005887315324376793,-0.0005421718562387575,0.0005514808861054399,0.0,-0.0002022064577111432,-0.0010193929443956344,-0.0009159614416735807,0.001023679473866249,1.0013887773885792,1.000922018728799,1.0013887773885792,affective,0.1,0.1,0.5,0.5
exposure,0,camp_pair,0.00042983205579272266,9.371270320551216e-9,2.1703209078148077e-8,0.003953468065636567,-0.0013942775917088275,-0.0013807892152473582,0.0012283812825437373,0.0,-0.00006167303064177204,-0.002122069306144559,-0.0016140319186071681,0.0023509119897164297,1.002860668536658,1.001742876518285,NaN,affective,0.5,0.5,0.5,0.5
