arm,seed,targeting_mode,delta_aff_plateau,delta_aff_per_contact,delta_aff_per_cross_contact,delta_aff_level_none,toward_other_camp,toward_mean,toward_own_pole,delta_k,delta_bic_margin,ideo_level_toward_other_camp,ideo_level_toward_mean,ideo_level_toward_own_pole,diversity_ratio_arm,diversity_ratio_none,diversity_floor_break_even,swept_dial,level,affective,ideological,structural
exposure,0,camp_pair,0.00010996919053002374,2.4930105989441123e-9,2.9556843124771204e-9,0.0003637835016386537,-0.0010784035424584294,-0.0010935047308783762,0.0010317014913003466,0.0,-0.00009988883276115801,-0.0019409131406165194,-0.001504792961322671,0.002157231106187694,1.001824390316154,1.001069725222185,NaN,affective,0.1,0.1,0.7,0.7
engagement,0,camp_pair,0.0002419292071535739,5.313038479270318e-9,6.271495415635989e-9,0.0003637835016386537,-0.0012776792050296015,-0.001279492697875744,0.0012533699890515107,0.0,0.000015723726641742042,-0.0019409131406165194,-0.001504792961322671,0.002157231106187694,1.0019391925400338,1.001069725222185,NaN,affective,0.1,0.1,0.7,0.7
composition,0,camp_pair,-0.0030484935235206567,-6.637693564832576e-8,-7.85026529889696e-8,0.0003637835016386537,-0.0007908092783957008,-0.0007783740434367597,0.0007452494070954905,0.0,-0.00015608804071235577,-0.0019409131406165194,-0.001504792961322671,0.002157231106187694,1.0016157157739707,1.001069725222185,1.0016157157739707,affective,0.1,0.1,0.7,0.7
exposure,1,camp_pair,0.0001055963645341107,2.388787796269895e-9,2.8425854563936334e-9,0.00041799135296027856,-0.0005395662969810496,-0.0005905597961377294,0.0004841251539350953,0.0,-0.000023019068239135687,-0.0022818355936471864,-0.001614647856368308,0.002618294891029388,1.0015839062726435,1.001255284669374,NaN,affective,0.1,0.1,0.7,0.7
engagement,1,camp_pair,0.00031355364871726854,6.7452651116977205e-9,8.035716266459982e-9,0.00041799135296027856,-0.0009407339352353414,-0.0009891810611938432,0.0008738327010181153,0.0,-7.024699231514275e-6,-0.0022818355936471864,-0.001614647856368308,0.002618294891029388,1.001866716858042,1.001255284669374,NaN,affective,0.1,0.1,0.7,0.7
composition,1,camp_pair,-0.0032346072553670058,-6.958389276900087e-8,-8.289613673416212e-8,0.00041799135296027856,-0.0009407339352353414,-0.0009891810611938432,0.0008738327010181153,0.0,-7.024699231514275e-6,-0.0022818355936471864,-0.001614647856368308,0.002618294891029388,1.001866716858042,1.001255284669374,1.001866716858042,affective,0.1,0.1,0.7,0.7
exposure,2,camp_pair,0.00034314627959625144,7.733571017021285e-9,9.202592780418672e-9,0.0006286547914919338,-0.0008785686343922932,-0.0008538392982604922,0.0008442159205311736,0.0,0.00029459002731306583,-0.003448486829141365,-0.00315281924316639,0.003479651881893209,1.00255169128608,1.0020297418309039,NaN,affective,0.1,0.1,0.7,0.7
engagement,2,camp_pair,0.00033730390870850835,7.376955399976125e-9,8.76023033213454e-9,0.0006286547914919338,-0.0012233614257924539,-0.0011926517430309053,0.0011878046820921811,0.0,-0.00023725984755890855,-0.003448486829141365,-0.00315281924316639,0.003479651881893209,1.0028167044884848,1.0020297418309039,NaN,affective,0.1,0.1,0.7,0.7
composition,2,camp_pair,-0.003172338313264411,-6.927107854975132e-8,-8.216364447719273e-8,0.0006286547914919338,-0.001293022378204316,-0.0012520233268248715,0.0012611046723388407,0.0,0.00009170696009015017,-0.003448486829141365,-0.00315281924316639,0.003479651881893209,1.002839916987233,1.0020297418309039,1.002839916987233,affective,0.1,0.1,0.7,0.7
exposure,3,camp_pair,0.00018314857337647927,4.169290051367676e-9,4.935022994623821e-9,0.000587271090078556,-0.0006771742253830278,-0.0006675977514468126,0.000625740816771604,0.0,-2.1430431253882665e-7,-0.0025836564430084964,-0.0022685718109025344,0.00271734993280112,1.002314767941724,1.0018347537197385,NaN,affective,0.1,0.1,0.7,0.7
