swept_dial,level,seed,arm,total_contact,cross_contact,frac
affective,0.1,0,none,41231.0,34041.0,0.8256166476680168
affective,0.1,0,engagement,45535.0,38576.0,0.8471725046667399
affective,0.1,0,composition,45927.0,38833.0,0.8455374833975657
affective,0.1,0,exposure,44111.0,37206.0,0.8434630817709868
affective,0.1,1,none,41684.0,34244.0,0.8215142500719701
affective,0.1,1,engagement,46485.0,39020.0,0.8394105625470581
affective,0.1,1,composition,46485.0,39020.0,0.8394105625470581
affective,0.1,1,exposure,44205.0,37148.0,0.8403574256305848
affective,0.1,2,none,41372.0,33811.0,0.8172435463598569
affective,0.1,2,engagement,45724.0,38504.0,0.8420960545884
affective,0.1,2,composition,45796.0,38610.0,0.8430867324657175
affective,0.1,2,exposure,44371.0,37288.0,0.8403687092921052
affective,0.1,3,none,40169.0,32933.0,0.8198610869078145
affective,0.1,3,engagement,45177.0,38014.0,0.8414458684728955
affective,0.1,3,composition,45420.0,38138.0,0.8396741523557903
affective,0.1,3,exposure,43928.0,37112.0,0.8448370060098342
affective,0.1,4,none,42822.0,35540.0,0.8299472233898464
affective,0.1,4,engagement,47374.0,40221.0,0.8490100054882425
affective,0.1,4,composition,47393.0,40103.0,0.84617981558458
affective,0.1,4,exposure,44991.0,38136.0,0.8476361939054478
affective,0.5,0,none,41507.0,34252.0,0.8252102055075048
affective,0.5,0,engagement,46050.0,38798.0,0.8425190010857764
affective,0.5,0,composition,45961.0,38848.0,0.84523835425687
affective,0.5,0,exposure,44904.0,37992.0,0.846071619454837
affective,0.5,1,none,42076.0,34405.0,0.8176870424945337
affective,0.5,1,engagement,46473.0,39099.0,0.8413272222580853
affective,0.5,1,composition,46638.0,39224.0,0.8410309189930958
affective,0.5,1,exposure,44506.0,37335.0,0.8388756572147575
affective,0.5,2,none,41551.0,34112.0,0.8209670044042261
affective,0.5,2,engagement,45336.0,38118.0,0.8407887771307571
affective,0.5,2,composition,45551.0,38264.0,0.8400254659612303
affective,0.5,2,exposure,44475.0,37430.0,0.8415964024732996
