arm,seed,targeting_mode,delta_aff_plateau,delta_aff_per_contact,delta_aff_per_cross_contact,toward_other_camp,toward_mean,toward_own_pole,delta_k,delta_bic_margin,ideo_level_toward_other_camp,ideo_level_toward_mean,ideo_level_toward_own_pole,diversity_ratio_arm,diversity_ratio_none,diversity_floor_break_even,scenario,lhs_index,affective,ideological,structural
exposure,0,camp_pair,0.0026629803463811275,6.767765442668313e-8,8.607474130134875e-8,-0.0038415723297467188,-0.003759420421265108,0.0035905654894966077,0.0,0.00009507869243568362,-0.000585347027627432,-0.00011315539527711716,0.0008923641284938617,1.002790302240053,1.000264857263552,NaN,consolidated_two_camp,0,0.7137515307914992,0.6735343484268732,0.9831496442346799
engagement,0,camp_pair,0.0008049944277730425,2.2963754892969407e-8,3.120375330541292e-8,0.000033625725420515884,0.000027648139391395497,-0.00006300783936691713,0.0,0.00034209534895503907,-0.000585347027627432,-0.00011315539527711716,0.0008923641284938617,1.0001666996269496,1.000264857263552,NaN,consolidated_two_camp,0,0.7137515307914992,0.6735343484268732,0.9831496442346799
composition,0,camp_pair,-0.010989940495907069,-3.132911569858625e-7,-4.260162226579474e-7,0.0001227605731227626,0.00013954945559537814,-0.00012005919916243573,0.0,0.0003489196018897425,-0.000585347027627432,-0.00011315539527711716,0.0008923641284938617,1.000144916224229,1.000264857263552,1.000144916224229,consolidated_two_camp,0,0.7137515307914992,0.6735343484268732,0.9831496442346799
exposure,1,camp_pair,0.0025611794574580404,6.471056513449153e-8,8.298543425648966e-8,-0.0030052017819058078,-0.002852472026974802,0.00284610191699976,0.0,5.320971603148261e-6,-0.0011687653011913904,-0.0005084321087189628,0.0015812133342894249,1.0024166210506857,1.0003715043978116,NaN,consolidated_two_camp,0,0.7137515307914992,0.6735343484268732,0.9831496442346799
engagement,1,camp_pair,0.0014170000521152026,3.955559423038837e-8,5.335492326663162e-8,-0.0004381276854158445,-0.00035756874837957267,0.00043613241705024643,0.0,8.908018782893823e-6,-0.0011687653011913904,-0.0005084321087189628,0.0015812133342894249,1.0007154189692808,1.0003715043978116,NaN,consolidated_two_camp,0,0.7137515307914992,0.6735343484268732,0.9831496442346799
composition,1,camp_pair,-0.010565473280968352,-2.962420659180808e-7,-3.9994977783125835e-7,-0.000015298329317344405,0.00002213899221107762,0.00002002653297773988,0.0,0.000013608695256447922,-0.0011687653011913904,-0.0005084321087189628,0.0015812133342894249,1.000440268491565,1.0003715043978116,1.000440268491565,consolidated_two_camp,0,0.7137515307914992,0.6735343484268732,0.9831496442346799
exposure,0,distance,0.0026629803463811275,6.767765442668313e-8,8.607474130134875e-8,-0.0038415723297467188,-0.003759420421265108,0.0035905654894966077,0.0,0.00009507869243568362,-0.000585347027627432,-0.00011315539527711716,0.0008923641284938617,1.002790302240053,1.000264857263552,NaN,consolidated_two_camp,0,0.7137515307914992,0.6735343484268732,0.9831496442346799
engagement,0,distance,0.01343977585119549,2.418095691111099e-7,3.16177943660938e-7,-0.002330606774288449,-0.0025266307019732427,0.0019760821646287252,0.0,-0.000042083899668698965,-0.000585347027627432,-0.00011315539527711716,0.0008923641284938617,1.0020203945730177,1.000264857263552,NaN,consolidated_two_camp,0,0.7137515307914992,0.6735343484268732,0.9831496442346799
composition,0,distance,-0.005830493863890229,-1.0477077922534104e-7,-1.3699790558730773e-7,-0.0024400753504411413,-0.0025806140986909826,0.0021419243599314595,0.0,0.000051772846163207487,-0.000585347027627432,-0.00011315539527711716,0.0008923641284938617,1.001981732035198,1.000264857263552,1.001981732035198,consolidated_two_camp,0,0.7137515307914992,0.6735343484268732,0.9831496442346799
exposure,1,distance,0.0025611794574580404,6.471056513449153e-8,8.298543425648966e-8,-0.0030052017819058078,-0.002852472026974802,0.00284610191699976,0.0,5.320971603148261e-6,-0.0011687653011913904,-0.0005084321087189628,0.0015812133342894249,1.0024166210506857,1.0003715043978116,NaN,consolidated_two_camp,0,0.7137515307914992,0.6735343484268732,0.9831496442346799
engagement,1,distance,0.014444751095112895,2.555598014067601e-7,3.340831023223835e-7,-0.0026525117626537767,-0.00281627829878649,0.0022792093392718107,0.0,0.0000787692960317124,-0.0011687653011913904,-0.0005084321087189628,0.0015812133342894249,1.0024177348068302,1.0003715043978116,NaN,consolidated_two_camp,0,0.7137515307914992,0.6735343484268732,0.9831496442346799
composition,1,distance,-0.005361114054489136,-9.501983400664887e-8,-1.2442821460542023e-7,-0.0024491051013535783,-0.0027320573508360564,0.0020070258065137867,0.0,0.00009608778288747177,-0.0011687653011913904,-0.0005084321087189628,0.0015812133342894249,1.0023879121843626,1.0003715043978116,1.0023879121843626,consolidated_two_camp,0,0.7137515307914992,0.6735343484268732,0.9831496442346799
exposure,0,camp_pair,0.0031369063835788857,5.834259645468198e-8,6.572190202344198e-8,-0.013686056557419501,-0.013484882308346026,0.013385545971144108,0.0,-0.00035919832657897027,-0.03760756003132665,-0.036910246130993446,0.03686447281668743,1.0285679642260384,1.0205560171883234,NaN,consolidated_two_camp,1,0.9464207024421489,0.8848701602854708,0.7318724839295598
engagement,0,camp_pair,0.005378358560210295,1.0259735531285137e-7,1.1665456154886227e-7,0.00023465758119940727,0.0002773157339681573,-0.0002302885460978149,0.0,0.0008034785242722192,-0.03760756003132665,-0.036910246130993446,0.03686447281668743,1.0203878124064654,1.0205560171883234,NaN,consolidated_two_camp,1,0.9464207024421489,0.8848701602854708,0.7318724839295598
composition,0,camp_pair,-0.01551675724669499,-2.9369441914513636e-7,-3.340600927187881e-7,-0.001048620320127501,-0.0009622411693160082,0.0010616812735208744,0.0,0.0002851689783378644,-0.03760756003132665,-0.036910246130993446,0.03686447281668743,1.0211175857280923,1.0205560171883234,1.0211175857280923,consolidated_two_camp,1,0.9464207024421489,0.8848701602854708,0.7318724839295598
exposure,1,camp_pair,0.003805461057053705,6.841770297286466e-8,7.809598294725219e-8,-0.010572128015876668,-0.01038628904407203,0.010134446834122776,0.0,-0.0004376809468613699,-0.04074240940693872,-0.03920900440919381,0.039535012767098095,1.0294065362625624,1.0233162896312002,NaN,consolidated_two_camp,1,0.9464207024421489,0.8848701602854708,0.7318724839295598
engagement,1,camp_pair,0.006420244609626202,1.1770114964390713e-7,1.354739214117913e-7,-0.0013252204893181158,-0.001101381974168432,0.0012878383520732242,0.0,-0.0013473234864557065,-0.04074240940693872,-0.03920900440919381,0.039535012767098095,1.0239406456705673,1.0233162896312002,NaN,consolidated_two_camp,1,0.9464207024421489,0.8848701602854708,0.7318724839295598
composition,1,camp_pair,-0.015666965059943916,-2.876308553478844e-7,-3.316180903383269e-7,-0.0009488965555861442,-0.0008827056683859275,0.0008455186501764786,0.0,-0.00009474292343586432,-0.04074240940693872,-0.03920900440919381,0.039535012767098095,1.0239027904720897,1.0233162896312002,1.0239027904720897,consolidated_two_camp,1,0.9464207024421489,0.8848701602854708,0.7318724839295598
exposure,0,distance,0.0031369063835788857,5.834259645468198e-8,6.572190202344198e-8,-0.013686056557419501,-0.013484882308346026,0.013385545971144108,0.0,-0.00035919832657897027,-0.03760756003132665,-0.036910246130993446,0.03686447281668743,1.0285679642260384,1.0205560171883234,NaN,consolidated_two_camp,1,0.9464207024421489,0.8848701602854708,0.7318724839295598
engagement,0,distance,0.04720973732836331,6.197943721722898e-7,7.03677706489243e-7,-0.009666268279766778,-0.009626743203769592,0.009399271485444671,0.0,0.00008418509467264523,-0.03760756003132665,-0.036910246130993446,0.03686447281668743,1.0259069759926358,1.0205560171883234,NaN,consolidated_two_camp,1,0.9464207024421489,0.8848701602854708,0.7318724839295598
composition,0,distance,0.009895155938742572,1.29992458569154e-7,1.4747758344376076e-7,-0.009305987665555529,-0.009357927055966012,0.008940960858423497,0.0,-0.00014689831623942995,-0.03760756003132665,-0.036910246130993446,0.03686447281668743,1.0255508567668241,1.0205560171883234,NaN,consolidated_two_camp,1,0.9464207024421489,0.8848701602854708,0.7318724839295598
exposure,1,distance,0.003805461057053705,6.841770297286466e-8,7.809598294725219e-8,-0.010572128015876668,-0.01038628904407203,0.010134446834122776,0.0,-0.0004376809468613699,-0.04074240940693872,-0.03920900440919381,0.039535012767098095,1.0294065362625624,1.0233162896312002,NaN,consolidated_two_camp,1,0.9464207024421489,0.8848701602854708,0.7318724839295598
engagement,1,distance,0.04826848566126474,6.088739913120749e-7,6.953510092956197e-7,-0.008825549878451501,-0.009014673210233096,0.008349139853461848,0.0,-0.00001023346723821178,-0.04074240940693872,-0.03920900440919381,0.039535012767098095,1.0278028404512671,1.0233162896312002,NaN,consolidated_two_camp,1,0.9464207024421489,0.8848701602854708,0.7318724839295598
composition,1,distance,0.012556778813083813,1.5979408270553714e-7,1.8266531106287006e-7,-0.008684409671241296,-0.00903981990125751,0.008160446039289684,0.0,8.582672355671173e-6,-0.04074240940693872,-0.03920900440919381,0.039535012767098095,1.028023944440877,1.0233162896312002,NaN,consolidated_two_camp,1,0.9464207024421489,0.8848701602854708,0.7318724839295598
