arm,seed,targeting_mode,delta_aff_plateau,delta_aff_per_contact,delta_aff_per_cross_contact,delta_aff_level_none,toward_other_camp,toward_mean,toward_own_pole,delta_k,delta_bic_margin,ideo_level_toward_other_camp,ideo_level_toward_mean,ideo_level_toward_own_pole,diversity_ratio_arm,diversity_ratio_none,diversity_floor_break_even,scenario,lhs_index,affective,ideological,structural
exposure,0,camp_pair,0.0019231980478684463,4.886918859247971e-8,1.7485208181366e-7,0.006285870248226244,-0.00361017745910984,-0.0035700177113479406,0.0034221123414111577,0.0,-0.00042295762727441455,-0.0004277010216943378,0.00007220145974566899,0.0007395356489203173,1.002505545798068,1.0001227879989871,NaN,consolidated_two_camp,0,0.7137515307914992,0.6735343484268732,0.9831496442346799
engagement,0,camp_pair,0.0005312208927394924,1.5064540530853652e-8,9.096248163347471e-8,0.006285870248226244,-0.00003955488864786446,-0.00006124050350887716,0.000013831596786567277,0.0,-0.00011766273915732317,-0.0004277010216943378,0.00007220145974566899,0.0007395356489203173,1.0000746596255818,1.0001227879989871,NaN,consolidated_two_camp,0,0.7137515307914992,0.6735343484268732,0.9831496442346799
composition,0,camp_pair,-0.0072321557139991555,-2.0508608535614665e-7,-1.238594915910114e-6,0.006285870248226244,-0.00003668316519300237,-0.00005753783814615326,0.000011620124120462118,0.0,-0.00011735076900819957,-0.0004277010216943378,0.00007220145974566899,0.0007395356489203173,1.0000723663270135,1.0001227879989871,1.0000723663270135,consolidated_two_camp,0,0.7137515307914992,0.6735343484268732,0.9831496442346799
exposure,1,camp_pair,0.002173039879127092,5.4880287885824126e-8,1.8157084551529847e-7,0.00517022923512056,-0.003680875370273837,-0.0036576117986323745,0.0033714861675334337,0.0,-0.00001307660809826,-0.001217288218141411,-0.0005012721163655029,0.0016956040468923436,1.0030020817017478,1.0004417282428646,NaN,consolidated_two_camp,0,0.7137515307914992,0.6735343484268732,0.9831496442346799
engagement,1,camp_pair,0.0008591777312021431,2.4101709246020623e-8,1.2670369137326988e-7,0.00517022923512056,-0.0001159043715465366,-0.00023372101059094153,0.0000416239936153924,0.0,-0.005449260890668266,-0.001217288218141411,-0.0005012721163655029,0.0016956040468923436,1.0005922828602003,1.0004417282428646,NaN,consolidated_two_camp,0,0.7137515307914992,0.6735343484268732,0.9831496442346799
composition,1,camp_pair,-0.006592474138333193,-1.8593395020118436e-7,-9.5626256720818e-7,0.00517022923512056,-0.0001719329523445234,-0.00016263375677487153,0.00010580595871575007,0.0,-0.005442466398836991,-0.001217288218141411,-0.0005012721163655029,0.0016956040468923436,1.000540829253914,1.0004417282428646,1.000540829253914,consolidated_two_camp,0,0.7137515307914992,0.6735343484268732,0.9831496442346799
exposure,0,distance,0.0019231980478684463,4.886918859247971e-8,1.7485208181366e-7,0.006285870248226244,-0.00361017745910984,-0.0035700177113479406,0.0034221123414111577,0.0,-0.00042295762727441455,-0.0004277010216943378,0.00007220145974566899,0.0007395356489203173,1.002505545798068,1.0001227879989871,NaN,consolidated_two_camp,0,0.7137515307914992,0.6735343484268732,0.9831496442346799
engagement,0,distance,0.009135784478023545,1.638940920315659e-7,1.0209861955770614e-6,0.006285870248226244,-0.0026803170904118705,-0.0028910805321847523,0.0023321556674817385,0.0,0.000013832050289701303,-0.0004277010216943378,0.00007220145974566899,0.0007395356489203173,1.0020885815552154,1.0001227879989871,NaN,consolidated_two_camp,0,0.7137515307914992,0.6735343484268732,0.9831496442346799
composition,0,distance,-0.004176945000342158,-7.556662144445333e-8,-4.7085390602436685e-7,0.006285870248226244,-0.002586729374902634,-0.0028077859645917434,0.0022404189765658864,0.0,-0.0003839875060557482,-0.0004277010216943378,0.00007220145974566899,0.0007395356489203173,1.0020098431701692,1.0001227879989871,1.0020098431701692,consolidated_two_camp,0,0.7137515307914992,0.6735343484268732,0.9831496442346799
exposure,1,distance,0.002173039879127092,5.4880287885824126e-8,1.8157084551529847e-7,0.00517022923512056,-0.003680875370273837,-0.0036576117986323745,0.0033714861675334337,0.0,-0.00001307660809826,-0.001217288218141411,-0.0005012721163655029,0.0016956040468923436,1.0030020817017478,1.0004417282428646,NaN,consolidated_two_camp,0,0.7137515307914992,0.6735343484268732,0.9831496442346799
engagement,1,distance,0.009441998752829583,1.6938143572096699e-7,9.27687045866534e-7,0.00517022923512056,-0.002510938503324057,-0.0027799985723582377,0.0020605221748718197,0.0,-0.000042888215003311636,-0.001217288218141411,-0.0005012721163655029,0.0016956040468923436,1.0023231254381344,1.0004417282428646,NaN,consolidated_two_camp,0,0.7137515307914992,0.6735343484268732,0.9831496442346799
composition,1,distance,-0.004064489930021731,-7.304321915754751e-8,-3.931221520477542e-7,0.00517022923512056,-0.002500024731540885,-0.0028222331994843626,0.0020107507122919667,0.0,-0.00004096455643081559,-0.001217288218141411,-0.0005012721163655029,0.0016956040468923436,1.0022870954039207,1.0004417282428646,1.0022870954039207,consolidated_two_camp,0,0.7137515307914992,0.6735343484268732,0.9831496442346799
exposure,0,camp_pair,0.002631471417538389,4.9709492746819596e-8,9.448730404087573e-8,0.019185010400685876,-0.011567623584700808,-0.011500095923542446,0.01128646859120213,0.0,-0.0006565782789196908,-0.03823572960222269,-0.037495699892609424,0.03750869509500236,1.0279311790732253,1.0210927388537363,NaN,consolidated_two_camp,1,0.9464207024421489,0.8848701602854708,0.7318724839295598
engagement,0,camp_pair,0.0038817523752099348,7.466631482668952e-8,1.5300561195151497e-7,0.019185010400685876,0.0015076272467143617,0.001429275499447387,-0.0015170534811346087,0.0,0.00006323421600430701,-0.03823572960222269,-0.037495699892609424,0.03750869509500236,1.0202475248474192,1.0210927388537363,NaN,consolidated_two_camp,1,0.9464207024421489,0.8848701602854708,0.7318724839295598
composition,0,camp_pair,-0.010196639923488071,-1.9460722046507503e-7,-3.969263078939652e-7,0.019185010400685876,-0.00044376439098283565,-0.00046176653584164423,0.0004331742026546029,0.0,-9.93926235582504e-6,-0.03823572960222269,-0.037495699892609424,0.03750869509500236,1.021403214942992,1.0210927388537363,1.021403214942992,consolidated_two_camp,1,0.9464207024421489,0.8848701602854708,0.7318724839295598
exposure,1,camp_pair,0.0023864574490564117,4.331767677805147e-8,8.159107829520366e-8,0.01754850389863849,-0.010010452397631556,-0.009734710984046498,0.00975529541691697,0.0,-0.0006299375124111037,-0.04101809466794985,-0.039541946089780976,0.039704344453102676,1.0291734374701464,1.0234277669526477,NaN,consolidated_two_camp,1,0.9464207024421489,0.8848701602854708,0.7318724839295598
engagement,1,camp_pair,0.004412683753842295,8.145841416703208e-8,1.6095286525540906e-7,0.01754850389863849,-0.00020102799894756301,-0.00008680664823471074,0.00021277953130584282,0.0,0.0014739517960057763,-0.04101809466794985,-0.039541946089780976,0.039704344453102676,1.023228711562562,1.0234277669526477,NaN,consolidated_two_camp,1,0.9464207024421489,0.8848701602854708,0.7318724839295598
composition,1,camp_pair,-0.010190466457440372,-1.8746603979912016e-7,-3.70387324444458e-7,0.01754850389863849,0.000695111163854123,0.0006893271339737037,-0.0007303256705783537,0.0,0.0013890899008803873,-0.04101809466794985,-0.039541946089780976,0.039704344453102676,1.0228260731375969,1.0234277669526477,1.0228260731375969,consolidated_two_camp,1,0.9464207024421489,0.8848701602854708,0.7318724839295598
exposure,0,distance,0.002631471417538389,4.9709492746819596e-8,9.448730404087573e-8,0.019185010400685876,-0.011567623584700808,-0.011500095923542446,0.01128646859120213,0.0,-0.0006565782789196908,-0.03823572960222269,-0.037495699892609424,0.03750869509500236,1.0279311790732253,1.0210927388537363,NaN,consolidated_two_camp,1,0.9464207024421489,0.8848701602854708,0.7318724839295598
engagement,0,distance,0.0302084967984122,3.949804108002275e-7,8.780774001805714e-7,0.019185010400685876,-0.009803208514602556,-0.009877884001288903,0.009367741233439558,0.0,-0.0003953756817048071,-0.03823572960222269,-0.037495699892609424,0.03750869509500236,1.0263196799153531,1.0210927388537363,NaN,consolidated_two_camp,1,0.9464207024421489,0.8848701602854708,0.7318724839295598
composition,0,distance,0.007368387547241451,9.627222842862211e-8,2.1462781588772393e-7,0.019185010400685876,-0.008748173370005906,-0.0088673099646231,0.008384401013601078,0.0,-0.0008205764789457823,-0.03823572960222269,-0.037495699892609424,0.03750869509500236,1.0258125806224447,1.0210927388537363,NaN,consolidated_two_camp,1,0.9464207024421489,0.8848701602854708,0.7318724839295598
exposure,1,distance,0.0023864574490564117,4.331767677805147e-8,8.159107829520366e-8,0.01754850389863849,-0.010010452397631556,-0.009734710984046498,0.00975529541691697,0.0,-0.0006299375124111037,-0.04101809466794985,-0.039541946089780976,0.039704344453102676,1.0291734374701464,1.0234277669526477,NaN,consolidated_two_camp,1,0.9464207024421489,0.8848701602854708,0.7318724839295598
engagement,1,distance,0.031436470842798325,4.00576860302229e-7,8.602126376466911e-7,0.01754850389863849,-0.007168983737825985,-0.00738893311349146,0.0067720737862500754,0.0,-0.0005620353956315369,-0.04101809466794985,-0.039541946089780976,0.039704344453102676,1.0271617094666858,1.0234277669526477,NaN,consolidated_two_camp,1,0.9464207024421489,0.8848701602854708,0.7318724839295598
