window,point,arm,seed,delta_peak,dBs,split_ratio
60,consolidated_two_camp_LHS1,composition,0,0.00478,0.00032,0.0669
60,consolidated_two_camp_LHS1,composition,1,0.00608,0.00032,0.052
60,consolidated_two_camp_LHS1,composition,2,0.00481,-0.00002,-0.0048
60,consolidated_two_camp_LHS1,composition,3,0.00602,0.00102,0.1701
60,consolidated_two_camp_LHS1,composition,4,0.00392,-0.00027,-0.0692
60,consolidated_two_camp_LHS1,engagement,0,0.02413,0.00092,0.0381
60,consolidated_two_camp_LHS1,engagement,1,0.02382,0.00071,0.0298
60,consolidated_two_camp_LHS1,engagement,2,0.02379,0.00153,0.0645
60,consolidated_two_camp_LHS1,engagement,3,0.02324,0.00081,0.0347
60,consolidated_two_camp_LHS1,engagement,4,0.02244,0.00055,0.0243
60,cross_cut_LHS0,composition,0,-0.00892,-0.00132,0.1481
60,cross_cut_LHS0,composition,1,-0.00908,-0.0004,0.0443
60,cross_cut_LHS0,composition,2,-0.00876,-0.00073,0.083
60,cross_cut_LHS0,composition,3,-0.00729,-0.00077,0.1052
60,cross_cut_LHS0,composition,4,-0.00794,-0.0005,0.0628
60,cross_cut_LHS0,engagement,0,0.01202,0.00122,0.1018
60,cross_cut_LHS0,engagement,1,0.01151,0.00093,0.081
60,cross_cut_LHS0,engagement,2,0.01254,0.001,0.0794
60,cross_cut_LHS0,engagement,3,0.01289,0.0011,0.085
60,cross_cut_LHS0,engagement,4,0.01315,0.00084,0.0641
60,cross_cut_LHS4,composition,0,-0.01072,-0.0012,0.1121
60,cross_cut_LHS4,composition,1,-0.01015,-0.00093,0.0921
60,cross_cut_LHS4,composition,2,-0.01085,-0.00066,0.0608
60,cross_cut_LHS4,composition,3,-0.00972,-0.00042,0.0432
60,cross_cut_LHS4,composition,4,-0.00987,-0.00095,0.096
60,cross_cut_LHS4,engagement,0,0.00754,0.00017,0.0225
60,cross_cut_LHS4,engagement,1,0.00787,-0.00019,-0.0245
60,cross_cut_LHS4,engagement,2,0.00818,0.00018,0.0224
60,cross_cut_LHS4,engagement,3,0.00747,0.00061,0.0814
60,cross_cut_LHS4,engagement,4,0.008,0.00094,0.1172
300,consolidated_two_camp_LHS1,composition,0,0.01132,0.00268,0.2369
300,consolidated_two_camp_LHS1,composition,1,0.01532,0.00271,0.1771
300,consolidated_two_camp_LHS1,composition,2,0.01188,0.00154,0.1297
300,consolidated_two_camp_LHS1,composition,3,0.01434,0.00396,0.2764
300,consolidated_two_camp_LHS1,composition,4,0.01048,0.00338,0.3223
300,consolidated_two_camp_LHS1,engagement,0,0.04921,0.01717,0.3489
300,consolidated_two_camp_LHS1,engagement,1,0.04947,0.01394,0.2817
300,consolidated_two_camp_LHS1,engagement,2,0.0503,0.01615,0.321
300,consolidated_two_camp_LHS1,engagement,3,0.04833,0.01686,0.3488
300,consolidated_two_camp_LHS1,engagement,4,0.04663,0.0167,0.3582
300,cross_cut_LHS0,composition,0,-0.01587,-0.0054,0.3402
300,cross_cut_LHS0,composition,1,-0.01572,-0.0067,0.426
300,cross_cut_LHS0,composition,2,-0.01562,-0.00608,0.3895
300,cross_cut_LHS0,composition,3,-0.01505,-0.0054,0.3591
300,cross_cut_LHS0,composition,4,-0.01524,-0.00611,0.401
300,cross_cut_LHS0,engagement,0,0.02506,0.00862,0.344
300,cross_cut_LHS0,engagement,1,0.02424,0.00746,0.3079
300,cross_cut_LHS0,engagement,2,0.02473,0.00949,0.3837
300,cross_cut_LHS0,engagement,3,0.02509,0.00848,0.338
300,cross_cut_LHS0,engagement,4,0.02522,0.00795,0.3153
300,cross_cut_LHS4,composition,0,-0.02036,-0.00699,0.3435
300,cross_cut_LHS4,composition,1,-0.01955,-0.00708,0.3619
300,cross_cut_LHS4,composition,2,-0.01993,-0.00721,0.3616
300,cross_cut_LHS4,composition,3,-0.018,-0.00674,0.3744
300,cross_cut_LHS4,composition,4,-0.01919,-0.00656,0.3419
300,cross_cut_LHS4,engagement,0,0.01518,0.00536,0.3529
300,cross_cut_LHS4,engagement,1,0.01524,0.00557,0.3656
300,cross_cut_LHS4,engagement,2,0.01701,0.00592,0.3482
300,cross_cut_LHS4,engagement,3,0.01584,0.00563,0.3551
300,cross_cut_LHS4,engagement,4,0.01538,0.00572,0.3718
1000,consolidated_two_camp_LHS1,composition,0,0.0351,0.01905,0.5426
1000,consolidated_two_camp_LHS1,composition,1,0.04266,0.02479,0.581
1000,consolidated_two_camp_LHS1,composition,2,0.03579,0.02103,0.5877
1000,consolidated_two_camp_LHS1,composition,3,0.04061,0.02316,0.5704
1000,consolidated_two_camp_LHS1,composition,4,0.02866,0.01656,0.5777
1000,consolidated_two_camp_LHS1,engagement,0,0.10356,0.06656,0.6427
1000,consolidated_two_camp_LHS1,engagement,1,0.10241,0.06698,0.654
1000,consolidated_two_camp_LHS1,engagement,2,0.10957,0.06984,0.6374
1000,consolidated_two_camp_LHS1,engagement,3,0.10173,0.06451,0.6341
1000,consolidated_two_camp_LHS1,engagement,4,0.10208,0.06516,0.6383
1000,cross_cut_LHS0,composition,0,-0.02506,-0.01961,0.7826
1000,cross_cut_LHS0,composition,1,-0.0299,-0.02064,0.6901
1000,cross_cut_LHS0,composition,2,-0.01994,-0.01594,0.7997
1000,cross_cut_LHS0,composition,3,-0.02178,-0.01639,0.7526
1000,cross_cut_LHS0,composition,4,-0.02756,-0.01968,0.714
1000,cross_cut_LHS0,engagement,0,0.04763,0.03012,0.6324
1000,cross_cut_LHS0,engagement,1,0.05035,0.03373,0.67
1000,cross_cut_LHS0,engagement,2,0.042747282320131585,0.027804976399966146,0.6504501547428561
1000,cross_cut_LHS0,engagement,3,0.04443113531367593,0.03032786660227361,0.6825814012665725
1000,cross_cut_LHS0,engagement,4,0.051510791719117766,0.03351851413969088,0.6507085801061526
1000,cross_cut_LHS4,composition,0,-0.038381744842270304,-0.026162769425863992,0.6816461714645813
1000,cross_cut_LHS4,composition,1,-0.03748382848229448,-0.0255625497068087,0.6819620818317209
1000,cross_cut_LHS4,composition,2,-0.03828885442990049,-0.026066673585473082,0.680790114345054
1000,cross_cut_LHS4,composition,3,-0.03474241696758473,-0.023868532902290192,0.6870141741882823
1000,cross_cut_LHS4,composition,4,-0.036439600704688546,-0.024715804024475825,0.6782676963113851
1000,cross_cut_LHS4,engagement,0,0.03262424669166175,0.021380584397954643,0.6553587152533146
1000,cross_cut_LHS4,engagement,1,0.03209857545959971,0.021228507808306415,0.6613535804735413
1000,cross_cut_LHS4,engagement,2,0.03516189108885803,0.023123719106230504,0.6576358207752331
1000,cross_cut_LHS4,engagement,3,0.03241865426755819,0.021237565197097356,0.6551032322877786
1000,cross_cut_LHS4,engagement,4,0.03325875151628854,0.022181931883641044,0.6669502273041548
