window,point,arm,mean_peak_gap,mean_rmse,std_rmse_across_seeds,min_r2,max_r2,rmse_over_peak_gap
60,consolidated_two_camp_LHS1,composition,0.005121301879668394,0.00019385160022979304,0.00006445351228979971,0.818175452472208,0.9809722494906111,0.03785201591013124
60,consolidated_two_camp_LHS1,engagement,0.02348524187934382,0.00025016286453738234,0.00005538819766126655,0.9937003575157431,0.9981107432243204,0.010651917737215653
60,cross_cut_LHS0,composition,-0.008396436135579144,0.0001428759816942589,0.00004400901070222097,0.976786178463845,0.995897504917613,0.017016264923261283
60,cross_cut_LHS0,engagement,0.012421092437507575,0.00017250432909937877,0.00006673998383972974,0.9823110505004204,0.9970664089514157,0.013888015886466876
60,cross_cut_LHS4,composition,-0.010260061128195908,0.00010589254238200572,0.000026903419316029974,0.9930100610691374,0.9979216822653807,0.010320849072818876
60,cross_cut_LHS4,engagement,0.007809242315389975,0.00013037108403089244,0.000046770928977530644,0.9799012189743495,0.9969545674102075,0.01669446007251755
300,consolidated_two_camp_LHS1,composition,0.012669546742863691,0.00027996779548674397,0.0000915424411143921,0.9459406884435352,0.9909021547355434,0.02209769624508785
300,consolidated_two_camp_LHS1,engagement,0.04878967165556229,0.0003323883608799392,0.00008329056437590484,0.9943329769629161,0.9986281781474025,0.0068126787822324905
300,cross_cut_LHS0,composition,-0.015500624960778087,0.00015563048561575586,0.00004328081858061517,0.9855979579100302,0.9961086301629081,0.010040271667081458
300,cross_cut_LHS0,engagement,0.024866374510553912,0.00015789578974449738,0.000059289209483853686,0.992558641119884,0.9989789872036312,0.006349771241379898
300,cross_cut_LHS4,composition,-0.019405734476070524,0.00012263614241252553,0.00002428548062461702,0.9952556201440175,0.9986425557272767,0.006319582624597375
300,cross_cut_LHS4,engagement,0.015731595797197608,0.00012026973034564678,0.000027881507071362675,0.9932130671549214,0.9980591854775551,0.0076451068217168
1000,consolidated_two_camp_LHS1,composition,0.03656522753680021,0.0002606311598165887,0.000056518418738447227,0.9782196017234309,0.9974261046469877,0.0071278418698279035
1000,consolidated_two_camp_LHS1,engagement,0.1038698404750372,0.00030906995585590135,0.000043660114889424457,0.9975006609642645,0.9989815316827969,0.002975550500919268
1000,cross_cut_LHS0,composition,-0.024847715656501144,0.00022150107188142635,0.00007532432884459945,0.8925553150246359,0.9962713164764134,0.008914343472997403
1000,cross_cut_LHS0,engagement,0.047332952400190066,0.00016596119858443425,0.00005228336974489039,0.9923907101980771,0.9989259915580532,0.0035062507232016195
1000,cross_cut_LHS4,composition,-0.03706728908534771,0.00011663447353168477,0.000019897132423148692,0.9942785440894097,0.998128164878225,0.0031465606579195206
1000,cross_cut_LHS4,engagement,0.03311242380479325,0.00013679105677956473,0.00003198268611398446,0.9927042049600664,0.998559293361122,0.004131109748594221
