arm,seed,targeting_mode,intervention_tick,withdrawal_tick,n_ticks_total,peak_gap,final_gap,recovery_fraction,scenario,lhs_index,affective,ideological,structural,delta_aff_plateau_mean
engagement,0,distance,60,1060,1120,0.10421486406811953,0.07971175779573914,0.23512103087678604,consolidated_two_camp,1,0.9464207024421489,0.8848701602854708,0.7318724839295598,0.047739111494814024
engagement,1,distance,60,1060,1120,0.10307224523660352,0.0793263847184491,0.23038074375546513,consolidated_two_camp,1,0.9464207024421489,0.8848701602854708,0.7318724839295598,0.047739111494814024
engagement,2,distance,60,1060,1120,0.11043463879284099,0.08284230744649745,0.24985214465275396,consolidated_two_camp,1,0.9464207024421489,0.8848701602854708,0.7318724839295598,0.047739111494814024
engagement,3,distance,60,1060,1120,0.10235775457589069,0.07680068599246326,0.24968375565994627,consolidated_two_camp,1,0.9464207024421489,0.8848701602854708,0.7318724839295598,0.047739111494814024
engagement,4,distance,60,1060,1120,0.10268511236078659,0.07794887529387617,0.24089409358582636,consolidated_two_camp,1,0.9464207024421489,0.8848701602854708,0.7318724839295598,0.047739111494814024
engagement,0,distance,60,1060,1120,0.0562616205766715,0.043620204009650276,0.2246898762859828,consolidated_two_camp,5,0.8220626578865291,0.8252463355872511,0.854053145059346,0.026376416211696174
engagement,1,distance,60,1060,1120,0.05803134078893413,0.04418388941950857,0.23862022109380765,consolidated_two_camp,5,0.8220626578865291,0.8252463355872511,0.854053145059346,0.026376416211696174
engagement,2,distance,60,1060,1120,0.05850180937514926,0.04564216298697943,0.21981621637898308,consolidated_two_camp,5,0.8220626578865291,0.8252463355872511,0.854053145059346,0.026376416211696174
engagement,3,distance,60,1060,1120,0.05764963890213881,0.04377779219465294,0.24062330608928095,consolidated_two_camp,5,0.8220626578865291,0.8252463355872511,0.854053145059346,0.026376416211696174
engagement,4,distance,60,1060,1120,0.05507052230104392,0.0425663727161143,0.227057036368304,consolidated_two_camp,5,0.8220626578865291,0.8252463355872511,0.854053145059346,0.026376416211696174
engagement,0,distance,60,1060,1120,0.047821420973648054,0.03608778000406221,0.24536370376889594,cross_cut,0,0.6713722911991205,0.5867149138882022,0.012553017635084669,0.021267367915075663
engagement,1,distance,60,1060,1120,0.050720739042507956,0.03929259548611941,0.22531500471258648,cross_cut,0,0.6713722911991205,0.5867149138882022,0.012553017635084669,0.021267367915075663
engagement,2,distance,60,1060,1120,0.04305199074307797,0.03317783251198425,0.22935427748323856,cross_cut,0,0.6713722911991205,0.5867149138882022,0.012553017635084669,0.021267367915075663
engagement,3,distance,60,1060,1120,0.04467590902915153,0.03515594043959647,0.2130895329593221,cross_cut,0,0.6713722911991205,0.5867149138882022,0.012553017635084669,0.021267367915075663
engagement,4,distance,60,1060,1120,0.05188171492312943,0.03948746632409694,0.23889435068590992,cross_cut,0,0.6713722911991205,0.5867149138882022,0.012553017635084669,0.021267367915075663
