arm,seed,targeting_mode,intervention_tick,withdrawal_tick,n_ticks_total,peak_gap,final_gap,recovery_fraction,scenario,lhs_index,affective,ideological,structural,delta_aff_plateau_mean
engagement,0,distance,60,120,180,0.024564220837806516,0.009108477027288231,0.6291973970015171,consolidated_two_camp,1,0.9464207024421489,0.8848701602854708,0.7318724839295598,0.030822483820605262
engagement,1,distance,60,120,180,0.02440355470152733,0.00895060095486988,0.6332255253653807,consolidated_two_camp,1,0.9464207024421489,0.8848701602854708,0.7318724839295598,0.030822483820605262
engagement,2,distance,60,120,180,0.02445525440989993,0.008525222074394101,0.651395077250027,consolidated_two_camp,1,0.9464207024421489,0.8848701602854708,0.7318724839295598,0.030822483820605262
engagement,3,distance,60,120,180,0.023664717960194537,0.00878438196442266,0.6287983664458409,consolidated_two_camp,1,0.9464207024421489,0.8848701602854708,0.7318724839295598,0.030822483820605262
engagement,4,distance,60,120,180,0.02291880350890274,0.007622081445566753,0.667431092438749,consolidated_two_camp,1,0.9464207024421489,0.8848701602854708,0.7318724839295598,0.030822483820605262
engagement,0,distance,60,120,180,0.014675076213915172,0.005730991502442606,0.6094744981965834,consolidated_two_camp,5,0.8220626578865291,0.8252463355872511,0.854053145059346,0.018831036224010278
engagement,1,distance,60,120,180,0.014738040726492763,0.0052328460503567875,0.6449428965852737,consolidated_two_camp,5,0.8220626578865291,0.8252463355872511,0.854053145059346,0.018831036224010278
engagement,2,distance,60,120,180,0.014376919067653926,0.005827883520794774,0.5946361321664039,consolidated_two_camp,5,0.8220626578865291,0.8252463355872511,0.854053145059346,0.018831036224010278
engagement,3,distance,60,120,180,0.01385703196275756,0.005521089554736847,0.601567668345181,consolidated_two_camp,5,0.8220626578865291,0.8252463355872511,0.854053145059346,0.018831036224010278
engagement,4,distance,60,120,180,0.014632936224385329,0.0054925620339818515,0.6246438889804857,consolidated_two_camp,5,0.8220626578865291,0.8252463355872511,0.854053145059346,0.018831036224010278
engagement,0,distance,60,120,180,0.012086050270218696,0.004493831987553598,0.6281802667471212,cross_cut,0,0.6713722911991205,0.5867149138882022,0.012553017635084669,0.015576098543637507
engagement,1,distance,60,120,180,0.011649942455330464,0.004240508587362024,0.636006048646037,cross_cut,0,0.6713722911991205,0.5867149138882022,0.012553017635084669,0.015576098543637507
engagement,2,distance,60,120,180,0.012781688874863528,0.00456250631522348,0.6430435476961025,cross_cut,0,0.6713722911991205,0.5867149138882022,0.012553017635084669,0.015576098543637507
engagement,3,distance,60,120,180,0.013203991736752796,0.005236122874990201,0.603443944877998,cross_cut,0,0.6713722911991205,0.5867149138882022,0.012553017635084669,0.015576098543637507
engagement,4,distance,60,120,180,0.013389588779344708,0.004679679995115871,0.6504986021426644,cross_cut,0,0.6713722911991205,0.5867149138882022,0.012553017635084669,0.015576098543637507
